label	text1	text2
1	okay uh we have not camped a great deal here because uh a good share of the time in the Summer time it 's too hot really to be very comfortable camping	In the summer , it 's too warm to be comfortable when camping .
1	Downtown L . A . 's noted Children 's Museum is closed pending the construction of two new sites , one in the San Fernando Valley , opening in 2004 , and one in Little Tokyo , opening in 2005 .	LA is closing their children 's museum .
2	Even after being taken down a notch or two , cities will remain , by virtue of their concentrations of energy and intellect , at the center of the American political imagination .	Cities will always be important to American politics for the Democrats .
1	Accordingly , the Office of Management and Budget clarified its contingency plan instructions and , along with the Chief Information Officers Council , adopted GAO 's business continuity and contingency planning guide for federal use , thus reducing the risks of disruption to major programs and services .	The risks of disruption to major programs and services were reduced thanks to the GAO 's business continuity and contingency planning guide .
0	and i 'm terribly overweight i 'm obese probably is the word i 've never used that word on myself before but i am very large and probably if i could give up the meat products and just get on vegetables i would probably look a lot better	i think my weight is fine and if i stay on the meat i 'll continue looking good
2	who do they of course you know Mike Marshall was the big guy the year that uh uh they won the World Series and Kirk Gibson Who who are are the Dodgers big RBI guys now	They won the World Series because of Mike Marshall .
0	and uh fortunately we agreed you know on exactly you know what we thought should be done my mother also was very very independent she had her own still had her own little house and still driving her own car at age eighty three	None of us agreed about what we should do about my mother .
0	Accordingly , it raises the bar for all of us - those in positions of leadership , federal managers , employees , unions , and human capital executives and their teams .	It lowers standards for everyone .
2	too many of the most popular songs are unless you know they 're in the the news or something but um so i tend to listen to some of the older	I watch the entertainment news every day .
2	Close by the bridge is the Mus ? ? e Courbet , in his childhood home , with the old walking stick depicted in his famous painting Bonjour Monsieur Courbet .	His childhood home was very beautiful which is why he featured it in his paintings .
2	Well , let 's do some abstruse statistical research -- by , say , buying a copy of the Economist and opening it to the last page , which each week conveniently offers tables summarizing economic data for a number of emerging economies .	The Economist offers some of the best summaries of economic data .
2	Congress recognized the need for greater leadership in information management and technology in the Clinger - Cohen Act of 1996 , which mandated the position of chief information officer ( CIO ) for executive departments and agencies .	Information management and technology teaching will spread across every department now .
1	For industry , the policies include voluntary agreements with industry groups to achieve defined energy efficiency and emissions goals , combined with a variety of government programs that strongly support such agreements .	Voluntary agreements with industry groups are included in the policies .
