label	text1	text2
0	How many peaks are over 4 , 000 feet in WV ?	In West Virginia , more than 150 peaks rise above 4 , 000 ft ( 1 , 200 m ) , including Spruce Knob 4 , 863 ft ( 1 , 482 m ) , the highest point in the Allegheny Mountains .
0	What political party has the most members in Oklahoma ?	Spanning the southern and eastern parts of the United States , the area is known for politically and socially conservative views , even though Oklahoma has more voters registered with the Democratic Party than with any other party .
0	With which political group was David Steel affiliated ?	In 1978 , Hayek came into conflict with the Liberal Party leader , David Steel , who claimed that liberty was possible only with social justice and an equitable distribution of wealth and power , which in turn require a degree of active government intervention and that the Conservative Party were more concerned with the connection between liberty and private enterprise than between liberty and democracy .
1	How were these relationships with the other countries most likely established ?	Businesses frequently comprised the extended family , and with them they brought schools teaching Greek and the Greek Orthodox Church .
1	What was the Qing governments attempt to create a modern socity called ?	By the late 19th century , the most conservative elements within the Qing court could no longer ignore China 's military weakness .
1	In dirhams , what was the yearly cost of the Iraqi postal service when Yusuf bin Umar was governor ?	Mu ' awiyah introduced postal service , Abd al - Malik extended it throughout his empire , and Walid made full use of it .
1	What was destroyed during the pasteurisation of the milk ?	It turned out that the vast majority of sufferers were being fed milk that had been heat - treated ( as suggested by Pasteur ) to control bacterial disease .
0	Along with the Balkans , in what geographical location did a war take place where the UK used depleted uranium munitions ?	The use of depleted uranium became politically and environmentally contentious after the use of such munitions by the US , UK and other countries during wars in the Persian Gulf and the Balkans raised questions concerning uranium compounds left in the soil ( see Gulf War Syndrome ) .
0	How many square miles are water in NYC ?	164 . 1 sq mi ( 425 km2 ) of this is water and 304 . 8 sq mi ( 789 km2 ) is land .
1	What three cities were imperative for the scholarly and economic exchanges ?	It was the wealth of the extensive merchant class that provided the material basis for the intellectual revival that was the prominent feature of Greek life in the half century and more leading to the outbreak of the Greek War of Independence in 1821 .
0	Who were the first to use the term post - punk ?	The term post - punk was first used by journalists in the late 1970s to describe groups moving beyond punk 's sonic template into disparate areas .
1	How many PCs does Dell employ energy management software on ?	The company aims to reduce its external environmental impact through energy - efficient evolution of products , and also reduce its direct operational impact through energy - efficiency programs .
0	What are some of the sets or ideals most school systems follow ?	Such choices include curriculum , organizational models , design of the physical learning spaces ( e . g . classrooms ) , student - teacher interactions , methods of assessment , class size , educational activities , and more .
1	Which independent school had more hosted outreach events than Eton ?	According to The Economist , Oxford and Cambridge admit more Etonians each year than applicants from the whole country who qualify for free school meals .
0	In which year was the Kingdom of Castile formed ?	It continued under that nameclarification needed until incorporated into the Kingdom of Castile in 1230 , after Ferdinand III became joint king of the two kingdoms .
0	Prussian military officers were trained to exude what type thinking ?	In addition , the Prussian military education system was superior to the French model ; Prussian staff officers were trained to exhibit initiative and independent thinking .
0	Which contestant had to go to the hospital during the week of the top 20 ?	Crystal Bowersox , who has Type - I diabetes , fell ill due to diabetic ketoacidosis on the morning of the girls performance night for the top 20 week and was hospitalized .
1	In what year did the Pavilion open ?	The Sidney Myer Music Bowl , which dates from 1955 , is located in the gardens of Kings Domain ; and the Palais Theatre is a feature of the St Kilda Beach foreshore .
0	The sahwm was an early family member of what instrument ?	Typical stringed instruments of the early period include the harp , lute , vielle , and psaltery , while wind instruments included the flute family ( including recorder ) , shawm ( an early member of the oboe family ) , trumpet , and the bagpipes .
1	What location provided a base for flying boats ?	During the First World War , Plymouth was the port of entry for many troops from around the Empire and also developed as a facility for the manufacture of munitions .
0	What species of hardwood are hickory and mulberry trees ?	In ring - porous species , such as ash , black locust , catalpa , chestnut , elm , hickory , mulberry , and oak , the larger vessels or pores ( as cross sections of vessels are called ) are localised in the part of the growth ring formed in spring , thus forming a region of more or less open and porous tissue .
0	What were three midwestern hard rock bands ?	Midwestern groups like Kansas , REO Speedwagon and Styx helped further cement heavy rock in the Midwest as a form of stadium rock .
0	What team did Barcelona 's total competition wins pass ?	This extended the club 's overall number of official trophies to 74 , surpassing Real Madrid 's total amount of official trophies .
0	What is the common trait selected for dogs in overall breeding ?	These genes have been shown to have an impact on the catecholamine synthesis pathway , with the majority of the genes affecting the fight - or-flight response ( i . e . selection for tameness ) , and emotional processing .
1	Who noted that Gaddafi made long speeches ?	Although Bianco thought he had a gift for oratory , he was considered a poor orator by biographers Blundy and Lycett .
0	Was Texas a primarily a Spanish speaking state ?	Per the 1850 U . S . census , fewer than 16 , 000 Texans were of Mexican descent , and nearly all were Spanish - speaking people ( both Mexicans and non - Spanish European settlers who include German Texan ) who were outnumbered ( six - to-one ) by English - speaking settlers ( both Americans and other immigrant Europeans ) . citation needed
0	What geographical region lies west of the Tennessee bottom land ?	To the west of the Tennessee Bottoms is the Mississippi Alluvial Plain , less than 300 feet ( 90 m ) above sea level .
1	What did Carnivore monitor ?	After prolonged negative coverage in the press , the FBI changed the name of its system from Carnivore to DCS1000 .
0	What other patterns are consistent with unequal living standards ?	Other social factors , such as illiteracy and education levels , show the same patterns of disadvantage for people of color .
1	How many murders did Detroit have in 2015 ?	Although the murder rate increased by 6 % during the first half of 2015 , it was surpassed by St Louis and Baltimore which saw much greater spikes in violence .
0	What did religious freedom result from ?	Religious freedom resulted from an alliance of unlikely partners , writes the historian Frank Lambert in his book The Founding Fathers and the Place of Religion in America .
1	What was the most recent year of the Phillipines pushing for statehood ?	Supporters of this movement include Filipinos who believe that the quality of life in the Philippines would be higher and that there would be less poverty there if the Philippines were an American state or territory .
1	What does dharmas mean ?	The concept of emptiness brings together other key Buddhist doctrines , particularly anatta and dependent origination , to refute the metaphysics of Sarvastivada and Sautrantika ( extinct non - Mahayana schools ) .
1	Shapes of Things was a 1966 single by what band ?	In contrast , hard rock was most often derived from blues rock and was played louder and with more intensity .
1	What drugs were used for off - label uses ?	The settlement is related to the company 's illegal promotion of prescription drugs , its failure to report safety data , bribing doctors , and promoting medicines for uses for which they were not licensed .
0	What is the lowest point in Detroit along side ?	Detroit 's lowest elevation is along the Detroit River , at a surface height of 572 feet ( 174 m ) .
0	When was the Juan Manuel Blanes Museum founded ?	The Juan Manuel Blanes Museum was founded in 1930 , the 100th anniversary of the first Constitution of Uruguay , significant with regard to the fact that Juan Manuel Blanes painted Uruguayan patriotic themes .
0	When was the airport expected to be fully functional ?	Expected to be fully operational early 2016 , it is expected to help the island towards self - sufficiency and encourage economic development , reducing dependence on British government aid .
0	What did the Watch Tower Society admit in 1980 ?	Watch Tower Society literature did not state dogmatically that 1975 would definitely mark the end , but in 1980 the Watch Tower Society admitted its responsibility in building up hope regarding that year .
0	What statue is it rumored to be good luck to rub ?	Yale 's student tour guides tell visitors that students consider it good luck to rub the toe of the statue of Theodore Dwight Woolsey on Old Campus .
1	How would one describe the future participation of Hanover ?	Frederick sent urgent requests to Britain for more substantial assistance , as he was now without any outside military support for his forces in Germany .
0	Affirmative action does not only attempt to remove disadvantages , but also to ensure what about the number of people in a field ?	Further impetus is a desire to ensure public institutions , such as universities , hospitals , and police forces , are more representative of the populations they serve .
1	What kind of routines do general gymnastic groups perform ?	General gymnastics enables people of all ages and abilities to participate in performance groups of 6 to more than 150 athletes .
0	What did John Locke base his governance philosophy on ?	John Locke , one of the most influential Enlightenment thinkers , based his governance philosophy in social contract theory , a subject that permeated Enlightenment political thought .
0	Who were the models for future generations of samurai ?	In his book Ideals of the Samurai translator William Scott Wilson states : The warriors in the Heike Monogatari served as models for the educated warriors of later generations , and the ideals depicted by them were not assumed to be beyond reach .
0	What population of Hyderabad lived in slums in 2012 ?	According to a 2012 report submitted by GHMC to the World Bank , Hyderabad has 1 , 476 slums with a total population of 1 . 7 million , of whom 66 % live in 985 slums in the core of the city ( the part that formed Hyderabad before the April 2007 expansion ) and the remaining 34 % live in 491 suburban tenements .
1	What university is professor Gudmundur Alfredssson from ?	One of the actual reasons behind US interest in Greenland could be the vast natural resources of the island .
0	What is the primary function of the PC Settings app ?	Alongside the traditional Control Panel , a new simplified and touch - optimized settings app known as PC Settings is used for basic configuration and user settings .
0	What group conducted a study of coral on Funafuti ?	The boreholes on Funafuti , at the site now called Darwin 's Drill , are the result of drilling conducted by the Royal Society of London for the purpose of investigating the formation of coral reefs to determine whether traces of shallow water organisms could be found at depth in the coral of Pacific atolls .
1	What pub is associated with some of Jack the Ripper 's victims ?	It is said that Vladimir Lenin and a young Joseph Stalin met in the Crown and Anchor pub ( now known as The Crown Tavern ) on Clerkenwell Green when the latter was visiting London in 1903 .
1	Who ruled Nigeria until he died in 1998 ?	The classic case of a corrupt , exploitive dictator often given is the regime of Marshal Mobutu Sese Seko , who ruled the Democratic Republic of the Congo ( which he renamed Zaire ) from 1965 to 1997 .
0	What type of instrument was somewhat standardized int eh Baroque era ?	While double reeded instruments like the oboe and bassoon became somewhat standardized in the Baroque , the clarinet family of single reeds was not widely used until Mozart expanded its role in orchestral , chamber , and concerto settings .
0	What famous bridge had two banners hung from it by protesters ?	On April 7 , 2008 , two days prior to the actual torch relay , three activists carrying Tibetan flags scaled the suspension cables of the Golden Gate Bridge to unfurl two banners , one saying One World , One Dream .
0	What is considered to be a problem with the Kinsey scale ?	A third concern with the Kinsey scale is that it inappropriately measures heterosexuality and homosexuality on the same scale , making one a tradeoff of the other .
0	Which side is the Black Chronicles Headquarters ?	There are numerous community and international newspapers locally that cater to the city 's ethnic mosaic ; such as The Black Chronicle , headquartered in the Eastside , the OK VIETIMES and Oklahoma Chinese Times , located in Asia District , and various Hispanic community publications .
1	What institutions have been considered to take some its ideas from madaris ?	Makdisi has listed eighteen such parallels in terminology which can be traced back to their roots in Islamic education .
0	How wide is Swaziland in miles ? ?	At no more than 200 kilometres ( 120 mi ) north to south and 130 kilometres ( 81 mi ) east to west , Swaziland is one of the smallest countries in Africa .
1	What dye was known as the Blood of Saint John ?	The Rubia plant was used to make the most common dye ; it produced an orange - red or brick red color used to dye the clothes of merchants and artisans .
0	Of what nationality was John Wycliffe ?	John Wycliffe ( d . 1384 ) , an English theologian , was condemned as a heretic in 1415 for teaching that the laity should have access to the text of the Bible as well as for holding views on the Eucharist that were contrary to church doctrine .
1	What did the decision ultimately uphold ?	Writing separately , Justice Jackson argued that There are no good grounds upon which to support the present legislation .
0	How large is the Gateway National recreation Area in hectares ?	Gateway National Recreation Area contains over 26 , 000 acres ( 10 , 521 . 83 ha ) in total , most of it surrounded by New York City , including the Jamaica Bay Wildlife Refuge in Brooklyn and Queens , over 9 , 000 acres ( 36 km2 ) of salt marsh , islands , and water , including most of Jamaica Bay .
0	Interstate 26 begins on what part of Charleston ?	Interstate 26 begins in downtown Charleston , with exits to the Septima Clark Expressway , the Arthur Ravenel , Jr . Bridge and Meeting Street .
1	What animal was found with 17 , 000 - year-old damage from tuberculosis ?	A comparison of the genes of M . tuberculosis complex ( MTBC ) in humans to MTBC in animals suggests humans did not acquire MTBC from animals during animal domestication , as was previously believed .
1	In what year did the Korean War begin ?	The war arose from the division of Korea at the end of World War II and from the global tensions of the Cold War that developed immediately afterwards .
1	When was the Bronx added to ?	The Bronx is referred to , both legally and colloquially , with a definite article , as the Bronx .
0	What is the second most massive Neptunian moon ?	Of these , the irregularly shaped Proteus is notable for being as large as a body of its density can be without being pulled into a spherical shape by its own gravity .
1	who co - wrote the hit song on and on in 1984 ?	On and On is sometimes cited as the ' first house record ' , though other examples from around that time , such as J . M . Silk 's Music is the Key ( 1985 ) , have also been cited .
0	What was Sunyol called after his death ?	He was dubbed the martyr of barcelonisme , and his murder was a defining moment in the history of FC Barcelona and Catalan identity .
1	With how many countries does the IDLO work ?	It works to empower people and communities to claim their rights , and provides governments with the know - how to realize them .
0	What is the largest commercial airport in Oklahoma ?	Oklahoma 's largest commercial airport is Will Rogers World Airport in Oklahoma City , averaging a yearly passenger count of more than 3 . 5 million ( 1 . 7 million boardings ) in 2010 .
1	When was it announced that the SaberCats would be shutting down ?	A statement from the league indicated that the AFL is working to secure new , long - term owners for the franchise .
0	What is the commissioner not allowed to vote on ?	The 110th Congress returned the Commissioner 's power to vote in the Committee of the Whole , but not on matters where the vote would represent a decisive participation .
1	What modern country did Ibn Sina travel to after the end of the Samanid dynasty ?	The pay was small , however , so Ibn Sina wandered from place to place through the districts of Nishapur and Merv to the borders of Khorasan , seeking an opening for his talents .
0	Which country sought NATO admission in response to the fear of German rearmament ?	Previously , in March 1954 , the USSR , fearing the restoration of German Militarism in West Germany , requested admission to NATO .
0	Which site was eventually chosen by the Delhi Town Planning Committee ?	Eventually , owing to space constraints and the presence of a large number of heritage sites in the North side , the committee settled on the South site .
1	Who was Seattle 's , and the nation ' s , first female mayor ?	For the first time in United States history , an openly gay black woman was elected to public office when Sherry Harris was elected as a Seattle city councillor in 1991 .
1	What happened to the Sands Atlantic City a year after it closed ?	The biggest disappointment was when MGM Resorts International announced that it would pull out of all development for Atlantic City , effectively ending their plans for the MGM Grand Atlantic City .
1	How many Dutch warships were fended of by Christopher Martin in 1673 ?	The inhabitants were able to fend off a second Dutch attack in 1673 , when this time it was defended by Christopher Martin , an English merchant captain .
0	Europe has a large market for what ?	When Germany could no longer afford war payments , Wall Street invested heavily in European debts to keep the European economy afloat as a large consumer market for American mass - produced goods .
1	When did the vinyl LP records Era begin ?	In the 1930s , record companies began issuing collections of 78 rpm records by one performer or of one type of music in specially assembled albums , typically with artwork on the front cover and liner notes on the back or inside cover .
0	Out of the precipitation that falls , how much of it is snow ?	The city receives about 35 . 9 inches ( 91 . 2 cm ) of precipitation annually , of which 8 . 6 inches ( 21 . 8 cm ) is snow .
1	In what years did the Great Famine occur ?	The causes of the Great Famine included the slow transition from the Medieval Warm Period to the Little Ice Age , which left the population vulnerable when bad weather caused crop failures .
0	The gland directly underneath the hypothalamus is which gland ?	Some of the outputs also go to the pituitary gland , a tiny gland attached to the brain directly underneath the hypothalamus .
0	Where did he want to be buried ?	In his will around this time , he mentioned that he wished to be buried in the crypt of Saint Mark 's in Venice with some of his predecessors rather than with the family in Sotto il Monte .
1	Where can the public view the Royal Collection ?	Unlike the palace and the castle , the purpose - built gallery is open continually and displays a changing selection of items from the collection .
1	What is the understanding of the scales used ?	However , it is difficult to determine an individual 's sexual orientation through scales of assessment , due to ambiguity regarding the definition of sexual orientation .
