label	text1	text2
1	Flat Iron Steak was prepared very well , delivered Medium Rare exactly . Exemplary service and friendly staff . My iced tea glass was refilled regularly . Nothing to complain about here . Good chain restaurant with predictably good quality and predictably good service .	
1	Already LOVE the doughnuts ... . . but when they were out of what I wanted , and gave it to me free when it was ready , they had my heart ! Way to go on excellent customer service ! ! !	
0	Complete lack of respect for peoples time . Dirty office and a staff that has even less respect for their patients ! Don 't waste your time waiting here you 'll spend less time waiting and get better care in an er ! . I have been waiting 1hr and 30 mins past my 2nd appointment . Dr didn 't even know why I was there !	
1	One of my favorite restaurants in charlotte . I come here all the time . The view from the patio is peaceful and overlooking charlotte 's skyline . Their food is good . I love their Caesar salad and don 't forget to add salmon !	
1	My mom loves this place as she loves the Coca - Cola brand who somehow transformed their soda company into an entertainment company with merchandise . Kudos . That being said , this is a very fun , family - friendly , thing to do on the strip . There is a polar bear , soda tastings and of course merchandise ! Love this place !	
0	The spice market buffet is not the best . I 'm not sure how they are # 1 as they claim . It is average at best . Food is okay . I was only there for lunch . So lunch sucks . Maybe dinner is better .	
1	Jaime was really cool and helpful . She was knowledgeable about fabrics and what would work best for my needs . Jaime was also honest about length of time it took to get things in . It 's a solid place to look bridesmaid dresses .	
1	We went on a Saturday afternoon , the decor was inviting . The staff wasn 't as friendly as some places we have been . However , they were not rude or anything . Just not overly friendly . The Rolls are good sized portions and the sauces are really yummy . Food overall was great ! ! ! ! ! !	
1	we came here because of a groupon deal , but it was a good atmosphere , good service , good fish and chips , good drinks . can 't go wrong . too bad it 's so far away !	
0	We did not have a good experience here . The food was bland and the quality of the ingredients was low . The server was slow and when we got the food to go sauce leaked out if the bag creating a massive mess . The containers just weren 't able to hold all that bland flavor . If a one star rating doesn 't tell you to skip it , I don 't know what will .	
1	I 've found a great new happy hour ( 3 - 6pm ) location in Hussong 's Cantina . $ 3 draft beers - including imports . Most other happy hours in Madalay Bay / Luxor seem to discount just PBR or Bud Light . Food was also a hit including the free homemade tortilla chips and salsa as well as a half - price steak quesadilla that was big enough for two .	
1	Came here out of the blue on Sunday Morning . And what a great breakfast location . I love the open kitchen , the staff and most importantly the Eggs Benedict . Great atmosphere and very cool art on the walls . Highly recommend .	
0	Decided to try this place again hoping the lady had a bad day prior . Guess what same RUDE service as the last time ! Plus it 's so hot in here with no air conditioning ! Worth driving up to the W . Charleston location . No wonder we were the only ones there ! !	
1	Love the taro yogurt and mochi balls ! The only down side is the lack of seating and the fifty bajillion college kids that swarm this place . Maybe that 's just the old woman in me , but this place gets really loud ! I definitely like it here better than Mojo 's so I 'll take my yogurt to go and enjoy it in peace !	
1	I absolutely LOVE this place . Every meal that my husband and I have ordered here has been excellent ! They serve only the freshest seafood you could ask for , cooked to perfection ! I recommend the Seafood Market & Restaurant over Red Lobster any day !	
0	I went to ghost bar with my wife recently and will never set foot in the place again ! The bar itself does not live up to the hype it gets . The experience was bad from the start with the guy working the entrance before you enter the elevators . He was extremely rude and had absolutely no manners . Never again , plenty of other places in Vegas to go ! !	
1	My hubby and I were first timers to this place and it won 't be the last time . The complementary chips and salsa and been dip is very yummy . We irdered chicken fajitas and they quick to the table and very good . Our waters were never empty the service was great . We had a server named John and he was so dedicated about his work and you could tell . Super friendly and attentitive !	
1	XO Chinese food is awesome . For take out , i cant recommend a better place . My personel favorite dish is the pineapple shrimp fried rice . Prices are great and they deliver fast . Thumbs up to XO !	
0	Stay away from the Sirloin dishes . I don 't know what the heck is in this - it tastes like compacted beef , shred up and repackaged to look like a steak ... . . not I 'd even say the sirloin was nuked after reading these reviews . Disgusting !	
0	Not very fresh . Rice was hard . Beans crusted over . Taste was ok . Maybe it was a bad nite but the service was also uninspired . With many other burrito options no reason to come here .	
1	I had a facial with the lovely Katia and let me just say that she is amazing ! Very detail oriented and knowledgable . I left her shop feeling elated and my skin looks amazing ! I will definitely recommend her and can 't wait to come back to Las Vega s and doing my facial , sugaring and makeup with Katia again .	
1	Really marvelous art presented in a beautiful setting . The gift shop is one of the best in the city . They feature crafts from artists around the world and local . Shows are well lit and well presented . Downstairs are studios where they teach classes on metals , wood , fiber , mixed media and book / paper arts ( beginning to advanced ) . They do a great job of hosting outside events and fundraisers .	
1	I am completely in love with their herb bread . It 's a tasty sourdough loaf filled with fresh herbs , but not so herby it can 't handle sweet applications . It 's great toasted and topped with cranberry goat cheese . At $ 8 a loaf I don 't buy it often , but it is a favorite treat .	
0	Bahn MI was just O . K . , Pho again was just O . K . I don 't get it they have great reviews . Please help us fid great Pho , Bahn Mi , & Ramen in the greater PHX area .	
1	Awesome tortillas , awesome salsa , pretty good selection of Latin American food products ( mostly Mexican , but lots of S . /Central American and Caribbean ) . I 'm spoiled from all the Hispanic grocery stores in Atlanta , but this is the best one I 've found in the ' burgh . Prices are average for the Strip and Pittsburgh , but a little high for a Hispanic grocery store .	
1	Very nice club . I had a friend who worked here so he got us in for free . Good people , good air ventilation and fun music . The crowd is more decent than most clubs which MIGHT translate until the people not being as slutty . If you love random - people-dancing , this place is slightly harder . Still a cool club regardless .	
1	A tad pricey , but the quality of food is worth it . The steak kabob was tender and cooked perfectly medium rare . However , the ground meat kabob such as the ground chicken kabob , you get twice as much meat for the price , but the spices that are used are good .	
1	This place is so good ! I 'm half mexican , but don 't enjoy mexican food as much as you would think . This place has made me change my mind . The street corn is great ! The portion sizes are big and I 'm always satisfied when I walk out . My favorite is the shrimp plate with the rice and beans . Their juices are to die for !	
1	Great place to enjoy a cocktail ( bellini for me ) and escape the noise of the casino ! It is a classy bar with comfortable seating and friendly servers . It 's pricey , but isn 't everything in Vegas these days ?	
1	I heart Defalcos . The sandwhiches are always good and yesterday I had a bite of a friends pasta and it was delish . I have also purchased things from the store and they are always amazing . Four stars only because sometimes the wait is ridiculous .	
1	Great food & service . Bridget is the BEST waitress ! A group of us go here for lunch about once a month and she knew our orders by heart after our 2nd visit . Would highly recommend the topopo salad and the lunch buffet .	
1	Seriously great ball park . We had great seats 3 rows back halfway between home & 1st , but i dont think there is a bad seat in this park . Amazing view over the river & the downtown area of Pittsburgh ... ... ... . & of course the Red Sox won ! !	
1	The food at this chain has always been consistently good . Our server in downtown ( where we spent New Year ' s ) was new , but that did not impact our service at all . She was prompt and attentive to our needs .	
1	The absolute best damn burger I have ever had anywhere ever . 5 stars for the burger ! The service is excellent 4 stars . The atmosphere is fun and open with spacious high tops throughout . 4 stars . The fresh cut fries are delicious . 4 stars . Late hours - open ' till 12am on Friday & Saturday nights - Yay ! 4 stars .	
0	Update : This Winchells that I reviewed on N . Decatur has now closed and is now Dulce Donuts . I hope to go over to Dulce Donuts soon and try them . ( the two stars are for the Winchells that was here . I just wanted to update so everyone knows that it is now closed )	
0	We stayed at the Phoenician and had the opportunity to dine at Il Terrrazzo for breakfast . It would have been a lovely experience if it was not for the fact that the host was overly pretentious and the lady at the bar wasn 't able to handle more than 4 customers at a time . It 's unfortunate that a beautiful property like the Phoenician doesn 't prioritize employing more competent hospitable people .	
1	its more than a casino and hotel . they have shops and restaurants inside , and club pure . serendipity is conveniently located right outside the building , so you can go downstairs and get some frozen hot chocolate ! the hotel is really nice inside ; very spacious and classy looking . they have very comfortable mattresses and pillows so its easy to fall asleep and not miss home ! pool area looks pretty too .	
0	Definitely a misleading store . You will find no great deals and no low prices . I don 't know how they can have such outrageous prices and expect to do much business in Arizona Mills Mall . The staff seem clueless and unmotivated .	
0	Ppl were ranting about the All natural burgers - they are frozen patties . There was a long line of customers upset at the fact the food took forever . 20 min wait just for ice cream . The kicker of the whole experience was the 6 dollar burger that looks like it came from In and Out . Place is ridiculous . Wont last .	
1	Our driver was excellent and especially helpful to an elderly lady who was returning to Mesa , AZ for the winter . He carried her bags to her front door and helped her with a cranky front door lock . He was very kind to her .	
1	The food here was good and unique ! I would recommend slightly dressing up ... like with slacks and a nicer shirt / top . I went in a t - shirt , capris , and flip - flops and felt under - dressed .	
0	Honestly disappointed with the service . They require additional deposit on cash or debit card ( ? ! ) payments , $ 50 per night ! The hallways are noisy , you can hear everything from adjoining rooms . Breakfast is $ 14 per person , kind of ridiculous because there are virtually no restaurants in the area . Go elsewhere in a cooler neighborhood if you 're staying here for fun .	
1	As a Chicagoan who grew up eating at Lawry 's the Vegas location does not disappoint ! The service is 1st class , the food is absolutely delicious ! The room has an old supper club elegance . The organization that I enjoy hosts their regular luncheons at Lawry 's and I couldn 't be happier !	
1	Hipster service can be a frightening thought but the kids at The Crepe Bar must be majoring in culinary services . The atmosphere is laid back but there is nothing lazy about the quality of food and service . This isn 't the regular chain style breakfast joint , as soon as the food arrives you can see it in the plating and most importantly , taste it .	
1	Definitely a pool party to come too if in Vegas and want to have some fun in the water . The crowd is young and fun it 's full of energy . Music is great and the bartenders are good and quick . Regular drinks are $ 16 . 00 and the bigger ones are $ 32 . 00 . There 's lockers that you can rent for $ 40 . 00 .	
0	Overpriced , Americanized , Asian style food . Although advertised as a noodle and dim sum restaurant the menu contains food from all over the place with little dim sum offerings . Everything is overpriced for what it is . The service was fine and the atmosphere was nice as well . But the food was not worth it .	
0	First , their clothing is arranged by color , not by size . While thrift stores may think this looks great , it 's not great for people shopping for one size . Also , their prices were outrageous . Many of the items I liked I could have bought new for a little bit more . The upscale prices did not match the dingy and dirty store . We won 't be back to this one .	
1	Went on a whim and tried a place I 've never heard of or even been to . Tried my YELP app and found this place and was really impressed the food was delicious . I had the Salisbury steak w/ mash potatoes & gravy , green beans and a roll . Pretty good portion . I would recommend this place . I definitely will come back if I 'm in the area .	
1	Great cheap homemade Chinese comfort food ... Very easy to get to and the owners there are very nice to everyone . They talk with you see how your days are and make sure everything is good in your life . Overall service was excellent , it 's right off the light - rail stop too in Mesa !	
0	Ok , I know it 's Vegas and everything is expensive , but these were just mediocre over priced deli sandwiches and small soggy potato pancakes . However , as in most casino spots , the staff trips over themselves to make sure that you have everything that you need and that you aren 't waiting for good service .	
1	Fastest lunch ever . Great vegan options . Friendly service . I wish my wife liked Chines because it would definitely be a dinner option . For now , it 's my quickie lunches at the bar . Fried rice and crispy tofu !	
0	Very rude people . My son picked up a snow globe which then broke in his hand . The assistant manager then asked to pay and refused to write an incident report . Didn 't care that we had glass on him .	
0	Came here last Saturday after the Color Run . There was no line and now I know why . The food was awful , the portions were small , and the employees were talking about the customers in Spanish ( I know because I 'm fluent ) ! I 'd give this place negative stars if I could . Needless to say , I will NOT be back .	
1	Just awesome . Professional crew . Dave and Kevin are great . I love the games . One day Joust will work ! ! Just found Spectrum , my new favorite game . Its PAPA , the crown champ of Pinball Tournaments .	
1	Took them yesterday on a one way trip from Surprise . The professional driver was early for the appointment -- I liked that a lot . Van was nice , clean and the temp was good . It ended up a great choice --- we were really impressed . This city is kinda big and the airport complex . Glad we gave them a try .	
0	Extremely dirty dirty dirty arcade ... Enough said ... I 've never seen such filth inside a place as this . . Gum on controllers of machines , spilled food and drink all over machines , water and spills on floors causing people to trip ... . I couldn 't get out of here fast enough . Yuck .	
0	the worse place I have ever been to . It is located inside a run down gas station . The place has a feel of Texas chainsaw massacre . Inside , the place was equally horrific as the outside . There is no way I would send my dog there ever again .	
0	Yesterday we wait over 25 min for the food . When we ask the manager she say : I 'm taking care of it right away . 10 min later we decided to leave and the manager say : I don 't want to serve you ... . We visit this restaurant many times but they will NOT see us again for long time PS : the restaurant was almost empty	
1	The food was pretty good , but come armed with lots of patience , because they are very slow to fill your order . The price was right and one full star goes to the cute friendly waiter that gave us a hug , Cheers !	
0	I 've been here 3 times , and each time we were told sorry , the kitchen 's backed up as an excuse for the slow and confused service . The first time , the fries and hot appetizers came out cold . The burgers are okay but not worth having to endure the frustration of dining here . If you do end up here , get the cheeseburger and a shake . And good luck .	
1	My wife and I loved this place . Fried chicken , awesome . Rice , lobster asparagus and black truffle , to die for . Suzie , the server , new the answer to everything . Managers all working the room . Talking to , and helping with service . Don 't miss the Ginger bread Pudding for dessert . Good stuff here .	
1	Ate there Saturday Sept 27th staying across the street in spring hill suites we wanted something to eat and the buffalo pierogies were awesome , wife had pull pork sandwich which she liked and I had sloppy joe sandwich and was very good . We both had loaded tots was amazing ... . Glad we stopped in to eat during our visit	
1	We had dinner with about 26 people from our West Valley Meetup Group . In a private room , the food was excellent , the service was outstanding , the wait staff was so accommodating to all of us . We will hold future events here and I will visit them more often as it had been a while .	
0	These guys are Wow , we found a vehicle which was great an it needed to be looked at they said it would be an they would call us . . they next day we drive by it 's back on the lot an No call . Really how big of a liar can you be ... No call was made an I 'm sure No repair ... such bullshit if I 've ever seen ! . .	
1	This place is fantastic . I 've tried the shrimp skewers with forbidden rice and the beet salad and been very satisfied both times . The wife is a very picky , difficult vegetarian and she loves this place . High praise !	
1	The Mill and Baseline location is excellent . Service is fast and friendly , prices are reasonable and portions generous . Their veggie burro is excellent with big fresh chunks of avacodo , mm hmm . Their chips and salsa are also better than most casual taco shops . You can order ahead and pick up at the take out windows .	
1	Great place . The staff was very friendly and attentive . The food was great . The sandwiches were huge . The butchers block . Great selection of charcuterie and cheese . The goat cheese was awesome . We also got the bruschetta , the first four in the menu . Everything was delicious .	
1	I loved Zeke 's Hot Yoga classes . He has a great personality -- I wonder where he 's teaching now ? April 2007 Update : I MISS THIS PLACE SOOOO MUCH ! ! ! ! ! ! ! ! ! ! ! You can 't find a better instructor than Sascha . I really miss her hot yoga class . It 's transcendental .	
1	Ive walked by this joint a few times as i drunken walk towards the center of the strip ... So finally decided to walk in the waitress was very nice ( dont remember her name ) long story short happy hour $ 4 - 32 oz domestic beer , happy hour nachos feeds 2 were good would definetly go back	
0	Oh for the love of God this place is boring . Pottery and pictures of pottery . I came here for some tour a few years ago . I was so bored I went outside and took a nap next to giant flower pot . Then I came back here last month for a charity event and also took a nap , this time in the bathroom . Zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz ...	
0	terrible service ; pay with debit card and get an attitude plus an additional $ 1 for the privilege . Typical service of a business that couldn 't care less , and think THEY are doing YOU the favor . Do YOURSELF a favor and go somewhere they actually value their customers . Here they DO NOT ! !	
0	Worst DD I 've ever been to . Today I tried to use a gift card . I was told that their machine didn 't work and wouldn 't accept it . I asked if I could have a coffee . They said only if I had cash which I did not have . So no coffee . Will never go there again . I 'm only giving this one star because zero stars is not an option .	
0	I 'm confused by all the high ratings . I 've had plenty of good Mexican while in and around Phoenix but this was definitely on the low end . I did find out after from some locals this is more the end of night drunk food stop . Eh well .	
1	Unfortunately has closed it 's doors . Bummer because I heard so much about the awesome taste and had a hankering for some cake . Maybe next time . The four stars I 'm giving it are for those who 've told me how good the cupcakes are .	
0	Here for the weekend and was told i had to try this place out . The Pittsburger cheese steak was pretty bland . Unseasoned beef , dry fries , mediocre slaw , and white bread . Hopefully Pittsburgh has some better must eat places .	
0	Fries were cold and greasy and flavorless . Hamburgers okay , not over the top like we were expecting . Got our drinks after we got our burgers . We left thinking Bobby would be pissed if he would have had the meal we had at his place !	
0	for starters the place is the same as before , it 's still to bright , food fare , beer selection fare , bad decor same place different sign we felt the food was the same as eating at Eat - n-Park fish was over cooked , & just a plain , bland chicken salad but the tomatoes were fresh In this case a change in the name didn 't change restaurant	
1	I came here as a nervous newly engaged girl . Tiffany helped me to pick out the dresses I wanted and then recommended some that I might like . Even if I don 't buy my dress there , I would recommend it to anyone in the wedding party .	
1	What a wonderful evening to start out with happy hour and mike I or ( my guy ) excellent food from grilled shrimp to creme burlee fun friend , tequila ... Had a great time mike was on top of it at least we were one of few customers on the patio .	
1	Great place to eat . We did order quite a few dishes - Mussels , crab cakes , dip , scallops , steak and chocolate mousse . Mussels by far was the best . Steak was not the best as it was over cooked . Will definitely go back . I am sure the outside sitting in summer would be great .	
1	Customer service is great . Lots of different juices from different companies . I personally love the crowns reserve barons brew . I drive across town just to go here . I broke one of my mechanical mods and he replaced it with no problems . I will definitely be going back .	
